genes	m0 control1	m0 control2	m0 control3	m0 control4	m0 Latex	m0 E. coli	m0 EHEC	m0 S. typhi	m0 S. typhimirium	m0 S. aureus	m0 L. monocytogenes	m0 M. tuberculosis	m0 M. bovis BCG	m0 LPS E	m0 LPS S	m0 LTA	m0 MDP	m0 TB hsp70	m0 BCG hsp65	m0 MPA	m0 f-MLP	m0 Protein A	m0 Mannose	m0 IFN-alpha	m0 IFN-beta	m0 IFN-gamma	m0 IL-10	m0 IL-12	m0 (U937) control1	m0 (U937) B. pertussis 338	m0 (U937) B. pertussis 537 (avirulent)	m0 (U937) B. pertussis A2-6 (AC-)	m0 (U937) B. pertussis Tox6 (PT-)	DC control1	DC control2	DC control3	DC E. coli 	DC Influenza 	DC C. albicans 	DC LPS 	DC PolyIC 	DC Mannan 
ADAM8	             NaN	             NaN	1.1025	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0702	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.1873	             NaN	             NaN	             NaN	             NaN	2.405	             NaN	             NaN	1.2684	2.3841	             NaN	1.0554	             NaN	1.348	1.4724	1.161	1.0555
PLP2	             NaN	             NaN	1.9114	             NaN	1.0582	             NaN	1.0203	1.1267	             NaN	             NaN	1.0061	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.5169	2.1165	             NaN	             NaN	1.0491	             NaN	1.3039	1.0678	             NaN	1.3901	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.5753	1.0144	1.138	1.1427	1.2086	1.1667	1.2925	             NaN
PSMD11	             NaN	             NaN	1.1633	             NaN	1.2406	             NaN	             NaN	             NaN	1.0401	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3488	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2374	             NaN	1.2606	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.0531	1.8237	             NaN	1.5992	2.0152	             NaN	1	2	             NaN
NDRG1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2385	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2004	1.0261	1.2471	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2949	4.0461	             NaN	1.0837	             NaN	             NaN	1.0992	             NaN	1
ZNF592	1.082	             NaN	             NaN	1.295	             NaN	3.166	1.0503	             NaN	             NaN	             NaN	1.32	             NaN	             NaN	1.3035	1.7273	             NaN	1.0091	             NaN	1.0161	             NaN	             NaN	             NaN	             NaN	1.014	1.114	             NaN	             NaN	             NaN	2.37	1.24	1.02	1.21	1.115	2.2269	2.263	1.8449	1.3219	1.3295	             NaN	1.3685	             NaN	             NaN
MRPL23	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0494	1.5116	1.0428	             NaN	             NaN	1.0524	             NaN	             NaN	2.0546	             NaN	1.2559	             NaN	             NaN	             NaN	             NaN	             NaN	1.1001	1.3182	1.1807	1.3433	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.7485	             NaN	             NaN	             NaN	             NaN	1.1258	             NaN	1.3219	1.737
SNRPA	1.6176	1.045	             NaN	1.046	1.323	             NaN	             NaN	1.4298	1.3832	2.1474	             NaN	1.7964	1.0808	2.8155	1.1882	             NaN	             NaN	2.7249	1.1514	1.454	1.2018	1.6116	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1347	1.0704	1.3386	             NaN	             NaN	             NaN	1.6781	             NaN	1.0704
FAH	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0133	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3423	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1259	             NaN	             NaN	             NaN	1.237	1.3219	1.4183
ERCC1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3765	1.3384	             NaN	1.0426	             NaN	1.1668	             NaN	             NaN	             NaN	             NaN	1.1298	2.3832	             NaN	             NaN	             NaN	             NaN	1.5703	             NaN	1.0568	1.4817	1.0394	             NaN	             NaN	             NaN	             NaN	             NaN	2.109	2.0356	             NaN	1.353	             NaN	1.4603	             NaN	             NaN	2.0294
R3HDM	             NaN	             NaN	1.1619	             NaN	             NaN	             NaN	             NaN	1.0545	1.0868	1.0906	2.2405	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0262	1.1933	             NaN	             NaN	             NaN	             NaN	             NaN	1.1856	             NaN	1.2263	1.7097	             NaN	             NaN	             NaN	             NaN	             NaN	1.9149	1.2388	             NaN	             NaN	             NaN	             NaN	             NaN	2.1375	1.2925
SURF1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2235	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1339	             NaN	1.0946	1.0884	1.2146	             NaN	             NaN	1.2245	1.3219
GUSB	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0462	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1912	             NaN	             NaN	1.4854	1.5318	             NaN
